tags,poem
sleep,the moon seems very loud tonight I need a cloud to put out the light 
today,I saw a reason to smile today when I saw a butterfly flutter its wings around my way  I saw a reason to smile today when I heard the children laughing and playing under the warm sun of May  I saw a reason to smile today when I looked up and saw no clouds of gray  But most of all I saw a reason to smile today when I saw you pass by which completed my day 
justice,i have my personal justice written across my pulse constant thoughts and very clear needs my personal justice is just that personal like a thief whose money youre carrying thats me if only luck didnt have so much to do with it or time or life who says im not better life has its own will and it does not care about your plans or secrets or hopes you bury inside counting minutes days months for your justice to have its turn it does not have a turn time couldnt care less you can be your own prisonner if you like life wont even bother  still when will you surrender 
sleep,Time to rest our eyes We visit imagination Best vacation of mind Hidden desires lost memories Hopeful prayers arent blind Stand up and speak clear When in real timewe sleep Viewing is on the clock More thoughts to keep Time to rest in hours Dreaming in peace Sleeping in peace Fear isnt common Occuring once a blue Control your eyes Wake up for two This is a test Prepare for life Dream to make Sleep to dream 
dream,COME WITHLONG TUNE SOME OF WAELS STREET OF ALEPO CITY TO LEBANON FOR TV   BUT MURDERD ALL MEN AND WOMEN O HOW BLOOD FLOWES FROM POEMS OF ACADEMY westerni love winter leaves like sky scrapers  in new york  before the second com ROBERT HERRICK HAW HOW you say next  the movie start battles without spring com part WAEL MOREICHEH 8TH JANUARY 2009 
nature,Calm is all nature as a resting wheel The kine are couched upon the dewy grass The horse alone seen dimly as I pass Is cropping audibly his later meal Dark is the ground a slumber seems to steal Oer vale and mountain and the starless sky Now in this blank of things a harmony Homefelt and homecreated comes to heal That grief for which the senses still supply Fresh food for only then when memory Is hushed am I at rest My Friends restrain Those busy cares that would allay my pain Oh leave me to myself nor let me feel The officious touch that makes me droop again 
depression,No outward sign for you to see I try acting as normal as one can be Desperation is my call Suddenly Ive had enough of it all The tears the moods the ups and downs What is happening with me Leave me alone I say let me be Everything gets to me this misery I must divert my thought on the good things when negativity pulls me down I must think positive and redesign my life Yes this is what I must do Burying my head under covers is not the way for me or you I am aware this wont be easy It all takes some time But before you know it things will work out just fine 
hope,Hope is an expectation or Desire for certain event It relates to persons things Or to circumstances it is inherent  Not only men but also animal And birds reptiles have hope All live on hope or hope against hope Hopeless persons have no scope  Men live in hope and In hope they dream To dream many lovely things Is too dream of a team  Hope is the reason of attachment And it is the art It is too reason of detachment And it is the heart  Maximum people hope to get Perishable things they want But these are such things Those bring men daunt  Hope to lead valuable life And value in life is the best We must hope peace and bless of God There actually are the zests 
thanks,All around the world poems are talking among themselves when the books are shut when the computers are switched off when oldfashioned poets put down chewed pencils sucked ballpens lips a little stained with the flavour of ink that’s washable or permanent  poems talking among themselves in that language that poems understand that poets seek to write poems murmuring complaining sometimes shouting desperately  who are these people who have dared to speak our language What is their right and reason When did they arise Where did they get their ideas Why do they even try How do they hope to improve on this What is a poet anyway  The tumult of their languages the babel of upraised voices speaking though  with that unutterable beauty of that sound which can really act can change the world of change can touch the heart for lifetimes melts a heart of stone brings tears to eyes needful of tears opens clouds to blue sky and to sunlight watches angels as they ascend and descend speaks of speaks the unknown formless eternal ever present –  the tumult dies down in the silence and the stillness only the pure sound of sound itself and  in that sound the absolution forgive them O Muse of Poetry they know not what they do yet in their hearts they know what must be said  The pain exquisite found worthy loved 
husband,Oft oft methinks the while with thee I breathe as from the heart thy dear And dedicated bame I hear A promise and a mystery A pledge of more than passing life Yea in that very name of wife  A pulse of love that neer can sleep A feeling that upbraids the heart With happiness beyond desert That gladness half requests to weep Nor bless I not the keener sense And unalarming turbulence  Of transient joys that ask no sting From jealous fears or coy denying But born beneath Loves brooding wing And into tenderness soon dying Wheel out their giddy moment then Resign the soul to love again  A more precipitated vein Of notes that eddy in the flow Of smoothest song they come they go And leave their sweeter understrain Its own sweet selfa love of thee That seems yet cannot greater be 
home,The railings were old and rusty The door paint was faded and chipped The poor old house had seen better days The roof made of slate had now dipped  The windows showed broken hinges The path to the door overgrown This was the place where I was born The only real home I had known  The rambler that clung to the front porch Was a rose in the deepest red Now looking forlorn and so straggly I thought that maybe it was dead  But tiny buds were shooting From the root beside the door And I was sure that with a little care The house would come alive once more  I watched as the SOLD sign was erected And I felt I had reached home at last I knew that I would be happy here After what had been in my past  I washed swept scrubbed and polished Until everything looked brand new Then my heart sped back to my childhood days My return home was well overdue  ©   Ernestine Northover 
beauty,I died for beauty but was scarce Adjusted in the tomb When one who died for truth was lain In an adjoining room  He questioned softly why I failed For beauty I replied And I for truth  the two are one We brethren are he said  And so as kinsmen met anight We talked between the rooms Until the moss had reached our lips And covered up our names 
winter,Above the marge of night a star still shines And on the frosty hills the sombre pines Harbor an eerie wind that crooneth low Over the glimmering wastes of virgin snow  Through the pale arch of orient the morn Comes in a milkwhite splendor newlyborn A sword of crimson cuts in twain the gray Banners of shadow hosts and lo the day 
romantic,This one is entering her teens Ripe for sentimental scenes Has picked a gangling unripe male Sees herself in bridal veil Presses lips and tosses head Declares shes not too young to wed Informs you pertly you forget Romeo and Juliet Do not argue do not shout Remind her how that one turned out 
heaven,Open thy gates To him who weeping waits And might come in But that held back by sin Let mercy be So kind to set me free And I will straight Come in or force the gate 
father,Most truly honoured and as truly dear If worth in me or ought I do appear Who can of right better demand the same Than may your worthy self from whom it came The principal might yield a greater sum Yet handled ill amounts but to this crumb My stocks so small I know not how to pay My bond remains in force unto this day Yet for part payment take this simple mite Where nothings to be had kings loose their right Such is my debt I may not say forgive But as I can Ill pay it while I live Such is my bond none can discharge but I Yet paying is not paid until I die 
moon,Now every leaf though colorless burns bright With disembodied and celestial light And drops without a movement or a sound A pillar of darkness to the shifting ground  The lucent thin and alcoholic flame Runs in the stubble with a nervous aim But when the eye pursues will point with fire Each single stubbletip and strain no higher  O triple goddess Contemplate my plight Opacity my fate Change my delight The yellow tomcat sunk in shifting fur Changes and dreams a phosphorescent blur  Sullen I wait but still the vision shun Bodiless thoughts and thoughtless bodies run 
mirror,Mirror upon mirror mirror after mirror mirror turning giddying after mirror turning giddying and a solitary human in the midst of the mirror circle aghast confused and wan directionless in all directions 
